overall_score_ratio,estimated_level,unanswered_ratio,a2_accuracy,b1_accuracy,b2_accuracy,meaning_accuracy,context_accuracy,collocation_accuracy,word_form_accuracy,weakest_type,strongest_type,recommendation_label
0.3371,A2,0.061,0.3675,0.3312,0.2524,0.4574,0.3924,0.1749,0.326,collocation,meaning,collocation_pattern_builder
0.5997,B1,0.0665,0.6526,0.569,0.4647,0.7584,0.6484,0.4762,0.6495,collocation,meaning,collocation_pattern_builder
0.5265,B1,0.0168,0.5697,0.5104,0.4596,0.6023,0.6788,0.3702,0.6057,collocation,context,collocation_pattern_builder
0.5572,B1,0.1093,0.6214,0.6168,0.4177,0.7163,0.6379,0.3975,0.6186,collocation,meaning,collocation_pattern_builder
0.47,B1,0.0521,0.5732,0.4641,0.3732,0.5643,0.5255,0.256,0.453,collocation,meaning,collocation_pattern_builder
0.4662,B1,0.0167,0.4996,0.4446,0.3363,0.4565,0.5984,0.3319,0.5234,collocation,context,collocation_pattern_builder
0.4044,A2,0.096,0.4271,0.4034,0.3165,0.5432,0.4494,0.1957,0.41,collocation,meaning,collocation_pattern_builder
0.4451,A2,0.0944,0.5248,0.3928,0.3661,0.4572,0.4458,0.2873,0.5897,collocation,word-form,collocation_pattern_builder
0.68,B2,0.049,0.7695,0.6318,0.5745,0.7538,0.6956,0.4473,0.7115,collocation,meaning,collocation_pattern_builder
0.6128,B1,0.0307,0.6854,0.6501,0.4917,0.6973,0.6346,0.3931,0.6451,collocation,meaning,collocation_pattern_builder
0.6657,B1,0.0475,0.7137,0.6391,0.5473,0.6801,0.7473,0.4718,0.6315,collocation,context,collocation_pattern_builder
0.3817,A2,0.0745,0.4268,0.3376,0.2808,0.3563,0.5072,0.2404,0.3645,collocation,context,collocation_pattern_builder
0.4599,B1,0.0966,0.4619,0.4813,0.3338,0.4181,0.5699,0.218,0.4836,collocation,context,collocation_pattern_builder
0.4194,A2,0.0724,0.4761,0.4032,0.311,0.4473,0.4037,0.2499,0.486,collocation,word-form,collocation_pattern_builder
0.365,A2,0.1074,0.4664,0.3557,0.3101,0.444,0.4818,0.1676,0.4085,collocation,context,collocation_pattern_builder
0.3328,A2,0.0582,0.3952,0.3789,0.2522,0.3872,0.3931,0.2013,0.4887,collocation,word-form,collocation_pattern_builder
0.4526,B1,0.0181,0.5591,0.4778,0.3614,0.5862,0.482,0.3236,0.4873,collocation,meaning,collocation_pattern_builder
0.5923,B1,0.1184,0.6251,0.6517,0.5354,0.5796,0.7088,0.3976,0.6117,collocation,context,collocation_pattern_builder
0.6317,B1,0.0903,0.6543,0.5927,0.5234,0.5968,0.6879,0.4796,0.7208,collocation,word-form,collocation_pattern_builder
0.4066,A2,0.0628,0.4206,0.369,0.3226,0.4099,0.504,0.236,0.4352,collocation,context,collocation_pattern_builder
0.3539,A2,0.0303,0.4119,0.3691,0.1921,0.4708,0.3522,0.1952,0.4074,collocation,meaning,collocation_pattern_builder
0.6174,B1,0.0989,0.6462,0.6407,0.4607,0.6097,0.7506,0.4157,0.6174,collocation,context,collocation_pattern_builder
0.4422,A2,0.0534,0.5644,0.468,0.3143,0.4535,0.4369,0.2438,0.5989,collocation,word-form,collocation_pattern_builder
0.6441,B1,0.0989,0.6961,0.5776,0.5388,0.7088,0.6704,0.4245,0.6481,collocation,meaning,collocation_pattern_builder
0.3436,A2,0.0712,0.4049,0.3856,0.2736,0.3407,0.4946,0.2196,0.4152,collocation,context,collocation_pattern_builder
0.5072,B1,0.1161,0.529,0.4727,0.3944,0.5297,0.6524,0.3248,0.5477,collocation,context,collocation_pattern_builder
0.3229,A2,0.0403,0.4024,0.3526,0.245,0.4728,0.3342,0.1931,0.3776,collocation,meaning,collocation_pattern_builder
0.3507,A2,0.0973,0.4264,0.3458,0.2362,0.407,0.3791,0.1768,0.4624,collocation,word-form,collocation_pattern_builder
0.4384,A2,0.0198,0.5131,0.4078,0.3286,0.4815,0.5678,0.2687,0.4185,collocation,context,collocation_pattern_builder
0.4869,B1,0.1067,0.5113,0.4709,0.3137,0.5143,0.5713,0.2938,0.5223,collocation,context,collocation_pattern_builder
0.3138,A2,0.1115,0.3598,0.3167,0.2063,0.4451,0.3199,0.1953,0.3031,collocation,meaning,collocation_pattern_builder
0.5679,B1,0.0414,0.578,0.591,0.4565,0.6661,0.581,0.3688,0.6086,collocation,meaning,collocation_pattern_builder
0.4849,B1,0.085,0.5266,0.4528,0.3679,0.5559,0.4994,0.3012,0.4436,collocation,meaning,collocation_pattern_builder
0.4742,B1,0.0484,0.5879,0.4955,0.3536,0.5926,0.5113,0.2787,0.4764,collocation,meaning,collocation_pattern_builder
0.4258,A2,0.0411,0.5123,0.4396,0.2918,0.4059,0.5656,0.275,0.4341,collocation,context,collocation_pattern_builder
0.5684,B1,0.109,0.6519,0.5326,0.3977,0.5291,0.6925,0.3992,0.6088,collocation,context,collocation_pattern_builder
0.6006,B1,0.1194,0.6945,0.5843,0.4975,0.6043,0.5958,0.4191,0.7045,collocation,word-form,collocation_pattern_builder
0.6291,B1,0.0299,0.6582,0.632,0.5115,0.6401,0.7345,0.3859,0.6459,collocation,context,collocation_pattern_builder
0.3745,A2,0.0563,0.4286,0.3254,0.2055,0.5062,0.3957,0.138,0.4144,collocation,meaning,collocation_pattern_builder
0.6207,B1,0.1054,0.726,0.5786,0.5405,0.6176,0.7524,0.4136,0.6386,collocation,context,collocation_pattern_builder
0.4839,B1,0.0298,0.5491,0.4984,0.2941,0.4611,0.6089,0.2889,0.519,collocation,context,collocation_pattern_builder
0.3618,A2,0.0197,0.3743,0.3739,0.2264,0.3806,0.4908,0.1929,0.3179,collocation,context,collocation_pattern_builder
0.5421,B1,0.012,0.6339,0.5681,0.4346,0.5419,0.5418,0.3509,0.6701,collocation,word-form,collocation_pattern_builder
0.3066,A2,0.0901,0.3481,0.3538,0.1812,0.3163,0.3608,0.1569,0.4526,collocation,word-form,collocation_pattern_builder
0.5025,B1,0.0347,0.5493,0.5635,0.434,0.5361,0.6653,0.3486,0.5924,collocation,context,collocation_pattern_builder
0.6246,B1,0.1194,0.7525,0.6304,0.5383,0.7475,0.6838,0.4663,0.6615,collocation,meaning,collocation_pattern_builder
0.5162,B1,0.0563,0.6253,0.5156,0.4436,0.5987,0.5199,0.4039,0.6528,collocation,word-form,collocation_pattern_builder
0.3257,A2,0.032,0.3761,0.3157,0.195,0.3513,0.3849,0.2149,0.4946,collocation,word-form,collocation_pattern_builder
0.3831,A2,0.0198,0.4882,0.4075,0.2629,0.4767,0.4152,0.2301,0.5631,collocation,word-form,collocation_pattern_builder
0.2976,A2,0.0611,0.3631,0.2807,0.2364,0.3544,0.3025,0.4146,0.1224,word-form,collocation,word_form_control
0.2932,A2,0.0812,0.4191,0.343,0.1349,0.412,0.3692,0.32,0.1456,word-form,meaning,word_form_control
0.408,A2,0.0626,0.4518,0.3774,0.2953,0.4573,0.4897,0.4351,0.2309,word-form,context,word_form_control
0.4087,A2,0.0518,0.5025,0.4436,0.3112,0.5425,0.463,0.3993,0.279,word-form,meaning,word_form_control
0.4132,A2,0.0114,0.5107,0.386,0.2283,0.5261,0.4599,0.4447,0.2284,word-form,meaning,word_form_control
0.5816,B1,0.0373,0.6475,0.5853,0.4048,0.622,0.6029,0.6889,0.3849,word-form,collocation,word_form_control
0.3945,A2,0.0282,0.511,0.3881,0.2645,0.4317,0.3824,0.4884,0.2124,word-form,collocation,word_form_control
0.5228,B1,0.1042,0.579,0.5214,0.4356,0.5296,0.6537,0.5105,0.3476,word-form,context,word_form_control
0.4521,B1,0.1079,0.5346,0.4512,0.3483,0.5604,0.4765,0.4038,0.2988,word-form,meaning,word_form_control
0.4874,B1,0.0888,0.5472,0.4732,0.3385,0.5083,0.5362,0.593,0.3211,word-form,collocation,word_form_control
0.2868,A2,0.0889,0.409,0.2633,0.1552,0.3109,0.3229,0.4453,0.1625,word-form,collocation,word_form_control
0.4921,B1,0.0797,0.5644,0.4991,0.421,0.673,0.5149,0.5074,0.3759,word-form,meaning,word_form_control
0.5307,B1,0.0631,0.5816,0.4534,0.4221,0.6334,0.5236,0.5444,0.3664,word-form,meaning,word_form_control
0.4581,B1,0.0862,0.505,0.481,0.3147,0.5853,0.4402,0.5044,0.2637,word-form,meaning,word_form_control
0.3922,A2,0.0883,0.4592,0.3343,0.2546,0.4308,0.5034,0.3797,0.1973,word-form,context,word_form_control
0.5926,B1,0.0801,0.6891,0.6356,0.4359,0.5898,0.589,0.6974,0.3852,word-form,collocation,word_form_control
0.4992,B1,0.0217,0.5949,0.5493,0.3838,0.5477,0.6741,0.5858,0.3308,word-form,context,word_form_control
0.4261,A2,0.0136,0.5134,0.4186,0.259,0.517,0.3995,0.4545,0.2537,word-form,meaning,word_form_control
0.5722,B1,0.0152,0.6279,0.5765,0.4464,0.674,0.5943,0.583,0.3685,word-form,meaning,word_form_control
0.4406,A2,0.1103,0.4918,0.4278,0.3167,0.4754,0.5173,0.411,0.2786,word-form,context,word_form_control
0.5416,B1,0.0909,0.5845,0.5579,0.347,0.5263,0.5484,0.6231,0.3243,word-form,collocation,word_form_control
0.3009,A2,0.0156,0.4115,0.2761,0.156,0.4337,0.3462,0.3036,0.1676,word-form,meaning,word_form_control
0.6234,B1,0.0275,0.6695,0.6327,0.4691,0.6513,0.5971,0.7365,0.4605,word-form,collocation,word_form_control
0.4844,B1,0.1179,0.5599,0.4577,0.3843,0.4438,0.5699,0.456,0.3022,word-form,context,word_form_control
0.2599,A2,0.0382,0.3916,0.2611,0.1826,0.2876,0.277,0.3758,0.131,word-form,collocation,word_form_control
0.5517,B1,0.0284,0.636,0.4854,0.3975,0.6192,0.5784,0.5336,0.3561,word-form,meaning,word_form_control
0.6346,B1,0.0916,0.7087,0.5657,0.508,0.6285,0.6378,0.7431,0.4559,word-form,collocation,word_form_control
0.4117,A2,0.0385,0.5274,0.4238,0.3055,0.5218,0.4134,0.4439,0.2901,word-form,meaning,word_form_control
0.4264,A2,0.0493,0.4383,0.4265,0.2365,0.4224,0.4136,0.5524,0.2814,word-form,collocation,word_form_control
0.4279,A2,0.053,0.537,0.4384,0.3243,0.4997,0.5686,0.4296,0.2816,word-form,context,word_form_control
0.571,B1,0.0256,0.6359,0.5869,0.3723,0.5506,0.5845,0.7018,0.3343,word-form,collocation,word_form_control
0.2935,A2,0.0277,0.3486,0.2755,0.1788,0.3239,0.3179,0.4475,0.0969,word-form,collocation,word_form_control
0.346,A2,0.0174,0.4745,0.3412,0.23,0.3445,0.5103,0.405,0.1484,word-form,context,word_form_control
0.298,A2,0.0825,0.3404,0.2727,0.182,0.3414,0.3785,0.4233,0.1623,word-form,collocation,word_form_control
0.5327,B1,0.0248,0.5579,0.5298,0.3794,0.623,0.5222,0.5174,0.3853,word-form,meaning,word_form_control
0.5345,B1,0.039,0.6334,0.5551,0.3632,0.5455,0.6617,0.5298,0.3834,word-form,context,word_form_control
0.564,B1,0.1083,0.6783,0.5426,0.405,0.7119,0.6406,0.6363,0.3782,word-form,meaning,word_form_control
0.4585,B1,0.0829,0.53,0.4545,0.3232,0.511,0.4701,0.5739,0.2675,word-form,collocation,word_form_control
0.5991,B1,0.0144,0.6755,0.5229,0.4615,0.6067,0.614,0.6979,0.3873,word-form,collocation,word_form_control
0.5511,B1,0.0456,0.6059,0.5244,0.3635,0.6542,0.5458,0.5132,0.3272,word-form,meaning,word_form_control
0.494,B1,0.0377,0.5771,0.518,0.4291,0.5526,0.5166,0.6356,0.338,word-form,collocation,word_form_control
0.5783,B1,0.0808,0.6809,0.5646,0.4473,0.743,0.616,0.6675,0.4373,word-form,meaning,word_form_control
0.356,A2,0.0812,0.3832,0.3594,0.2198,0.465,0.3821,0.4036,0.1846,word-form,meaning,word_form_control
0.4357,A2,0.0759,0.4453,0.3855,0.2577,0.5498,0.4471,0.4058,0.2862,word-form,meaning,word_form_control
0.468,B1,0.0257,0.5388,0.4598,0.3136,0.6041,0.5144,0.5238,0.3221,word-form,meaning,word_form_control
0.4316,A2,0.0675,0.505,0.4559,0.3113,0.6099,0.4992,0.4649,0.2651,word-form,meaning,word_form_control
0.578,B1,0.0243,0.6876,0.5795,0.4209,0.6012,0.5741,0.6819,0.4038,word-form,collocation,word_form_control
0.5031,B1,0.0519,0.5582,0.4481,0.3854,0.5782,0.5327,0.5201,0.3218,word-form,meaning,word_form_control
0.4916,B1,0.0384,0.5913,0.4287,0.3601,0.5411,0.534,0.6239,0.3274,word-form,collocation,word_form_control
0.2846,A2,0.0379,0.3334,0.2581,0.1173,0.3308,0.3097,0.42,0.093,word-form,collocation,word_form_control
0.5727,B1,0.1187,0.6464,0.5286,0.4466,0.5972,0.6993,0.6399,0.4224,word-form,context,word_form_control
0.4921,B1,0.0981,0.5913,0.4264,0.3472,0.4862,0.4602,0.6212,0.3257,word-form,collocation,word_form_control
0.4692,B1,0.0188,0.6014,0.4723,0.3152,0.5294,0.4748,0.5889,0.3506,word-form,collocation,word_form_control
0.2597,A2,0.1036,0.3902,0.2504,0.1623,0.3559,0.3869,0.3285,0.0761,word-form,context,word_form_control
0.5548,B1,0.1196,0.6201,0.5604,0.4165,0.5951,0.5698,0.6983,0.4456,word-form,collocation,word_form_control
0.5517,B1,0.0482,0.62,0.5577,0.421,0.5821,0.6994,0.5351,0.3518,word-form,context,word_form_control
0.573,B1,0.0983,0.5879,0.5045,0.4067,0.6758,0.5467,0.6202,0.4038,word-form,meaning,word_form_control
0.6128,B1,0.0746,0.701,0.6414,0.4712,0.6566,0.6328,0.7492,0.4246,word-form,collocation,word_form_control
0.2989,A2,0.039,0.3505,0.2646,0.1629,0.4353,0.2976,0.3382,0.0962,word-form,meaning,word_form_control
0.3907,A2,0.1101,0.4871,0.3446,0.2924,0.415,0.4924,0.3553,0.2048,word-form,context,word_form_control
0.415,A2,0.1151,0.5053,0.4676,0.2816,0.5982,0.4439,0.4462,0.2445,word-form,meaning,word_form_control
0.4545,B1,0.1183,0.566,0.4772,0.3544,0.572,0.4717,0.4217,0.2616,word-form,meaning,word_form_control
0.6024,B1,0.0603,0.6147,0.5662,0.4975,0.6012,0.7472,0.5743,0.4234,word-form,context,word_form_control
0.3019,A2,0.0618,0.4022,0.2869,0.1958,0.3369,0.3598,0.4337,0.1386,word-form,collocation,word_form_control
0.5004,B1,0.0996,0.5535,0.4856,0.4064,0.4768,0.6065,0.5004,0.3256,word-form,context,word_form_control
0.5348,B1,0.0794,0.5461,0.5072,0.3585,0.6482,0.5807,0.5147,0.3286,word-form,meaning,word_form_control
0.4705,B1,0.0595,0.4876,0.4829,0.3292,0.5101,0.5999,0.4878,0.2957,word-form,context,word_form_control
0.4061,A2,0.0692,0.4817,0.3943,0.2715,0.3998,0.5084,0.4448,0.2267,word-form,context,word_form_control
0.5813,B1,0.0988,0.6616,0.6162,0.4475,0.6185,0.7297,0.6317,0.4029,word-form,context,word_form_control
0.3919,A2,0.1076,0.48,0.4058,0.2753,0.4259,0.4052,0.5067,0.2338,word-form,collocation,word_form_control
0.5524,B1,0.0332,0.589,0.5107,0.4399,0.5903,0.6443,0.5606,0.3387,word-form,context,word_form_control
0.4171,A2,0.1074,0.4433,0.3812,0.2505,0.5585,0.4729,0.4398,0.2493,word-form,meaning,word_form_control
0.3845,A2,0.1058,0.4409,0.4167,0.2916,0.4776,0.3995,0.3678,0.2398,word-form,meaning,word_form_control
0.6102,B1,0.0441,0.6814,0.5943,0.4702,0.6123,0.6648,0.732,0.4141,word-form,collocation,word_form_control
0.3764,A2,0.0689,0.4704,0.4139,0.2317,0.3908,0.377,0.4888,0.254,word-form,collocation,word_form_control
0.5073,B1,0.0534,0.5346,0.4912,0.375,0.5785,0.62,0.4848,0.3575,word-form,context,word_form_control
0.3297,A2,0.0813,0.4355,0.3368,0.2249,0.3701,0.3884,0.4617,0.1492,word-form,collocation,word_form_control
0.4217,A2,0.0155,0.5081,0.4631,0.2996,0.4722,0.5941,0.4491,0.2735,word-form,context,word_form_control
0.464,B1,0.0648,0.4834,0.4236,0.3239,0.5582,0.4601,0.4444,0.3312,word-form,meaning,word_form_control
0.4223,A2,0.0999,0.4334,0.3933,0.2455,0.4554,0.4093,0.5506,0.2712,word-form,collocation,word_form_control
0.57,B1,0.0329,0.6015,0.5751,0.391,0.7212,0.6031,0.5701,0.4094,word-form,meaning,word_form_control
0.3824,A2,0.0833,0.4804,0.3822,0.2683,0.4759,0.5109,0.4551,0.2328,word-form,context,word_form_control
0.6004,B1,0.0756,0.6318,0.5551,0.5093,0.7562,0.6134,0.5976,0.4701,word-form,meaning,word_form_control
0.3957,A2,0.0218,0.4323,0.3818,0.2417,0.5494,0.4263,0.4449,0.189,word-form,meaning,word_form_control
0.4691,B1,0.0634,0.5348,0.4217,0.2793,0.514,0.5494,0.4915,0.2764,word-form,context,word_form_control
0.4177,A2,0.0684,0.5355,0.4286,0.3348,0.453,0.5515,0.4554,0.2696,word-form,context,word_form_control
0.4244,A2,0.017,0.5148,0.4092,0.3148,0.457,0.5846,0.4804,0.2368,word-form,context,word_form_control
0.5755,B1,0.1132,0.661,0.5585,0.4947,0.5978,0.7275,0.6554,0.4534,word-form,context,word_form_control
0.3255,A2,0.0767,0.4133,0.3509,0.1863,0.4768,0.3593,0.3206,0.1355,word-form,meaning,word_form_control
0.3349,A2,0.0164,0.3984,0.3331,0.2063,0.4194,0.3669,0.3573,0.1166,word-form,meaning,word_form_control
0.6363,B1,0.05,0.7189,0.6247,0.5383,0.5889,0.6361,0.7002,0.7592,meaning,word-form,b1_bridge_builder
0.533,B1,0.0127,0.586,0.5274,0.4295,0.5199,0.5732,0.6723,0.4528,word-form,collocation,b1_bridge_builder
0.7428,B2,0.03,0.8323,0.722,0.5937,0.7799,0.8376,0.7893,0.6508,word-form,context,b1_bridge_builder
0.6289,B1,0.0178,0.7028,0.6904,0.5012,0.6872,0.7368,0.5122,0.6637,collocation,context,b1_bridge_builder
0.7188,B2,0.02,0.7643,0.6739,0.5648,0.6082,0.7502,0.7094,0.7739,meaning,word-form,b1_bridge_builder
0.593,B1,0.0076,0.6352,0.6163,0.4767,0.6653,0.5833,0.4936,0.5341,collocation,meaning,b1_bridge_builder
0.6745,B1,0.0598,0.7147,0.7043,0.5034,0.5779,0.6495,0.6893,0.7741,meaning,word-form,b1_bridge_builder
0.701,B2,0.0314,0.7671,0.679,0.5419,0.6091,0.6951,0.6874,0.7759,meaning,word-form,b1_bridge_builder
0.6009,B1,0.0558,0.6829,0.5943,0.4879,0.5247,0.7228,0.5828,0.6017,meaning,context,b1_bridge_builder
0.6792,B1,0.0461,0.7219,0.6643,0.5607,0.6575,0.6772,0.7791,0.5579,word-form,collocation,b1_bridge_builder
0.5447,B1,0.0352,0.5897,0.5769,0.455,0.5313,0.6149,0.5292,0.4309,word-form,context,b1_bridge_builder
0.7004,B2,0.0275,0.7954,0.6881,0.6366,0.7979,0.6116,0.7462,0.6819,context,meaning,b1_bridge_builder
0.7073,B2,0.0535,0.7618,0.7092,0.6262,0.6941,0.802,0.5987,0.6681,collocation,context,b1_bridge_builder
0.6102,B1,0.0528,0.6137,0.5917,0.46,0.5391,0.5813,0.7021,0.6146,meaning,collocation,b1_bridge_builder
0.6821,B2,0.0401,0.7517,0.7468,0.5933,0.5818,0.7251,0.7761,0.6982,meaning,collocation,b1_bridge_builder
0.6381,B1,0.0401,0.6659,0.6333,0.4744,0.5498,0.7016,0.6041,0.6101,meaning,context,b1_bridge_builder
0.6893,B2,0.0768,0.7983,0.7143,0.5374,0.7377,0.7677,0.619,0.7041,collocation,context,b1_bridge_builder
0.6613,B1,0.069,0.6854,0.6186,0.5389,0.6288,0.5717,0.7473,0.6957,context,collocation,b1_bridge_builder
0.5757,B1,0.0704,0.6537,0.6328,0.4298,0.6375,0.4638,0.667,0.6313,context,collocation,b1_bridge_builder
0.6399,B1,0.0789,0.7052,0.6488,0.5231,0.7261,0.7843,0.5754,0.7121,collocation,context,b1_bridge_builder
0.6686,B1,0.0393,0.7262,0.6769,0.5231,0.6289,0.5624,0.6417,0.7459,context,word-form,b1_bridge_builder
0.568,B1,0.0789,0.6591,0.576,0.3869,0.6548,0.4613,0.5018,0.5272,context,meaning,b1_bridge_builder
0.7181,B2,0.0475,0.7588,0.6921,0.6019,0.6933,0.7065,0.8149,0.6478,word-form,collocation,b1_bridge_builder
0.6478,B1,0.077,0.7439,0.5895,0.5043,0.5584,0.6312,0.6733,0.7278,meaning,word-form,b1_bridge_builder
0.5744,B1,0.0072,0.6408,0.6021,0.4381,0.6002,0.6769,0.5404,0.4812,word-form,context,b1_bridge_builder
0.6197,B1,0.02,0.6992,0.6514,0.4803,0.6739,0.5386,0.5937,0.7009,context,word-form,b1_bridge_builder
0.6609,B1,0.044,0.7549,0.7197,0.5634,0.6955,0.6062,0.6928,0.7746,context,word-form,b1_bridge_builder
0.5259,B1,0.0501,0.5816,0.5106,0.4365,0.5362,0.4571,0.6324,0.5665,context,collocation,b1_bridge_builder
0.5438,B1,0.0363,0.6167,0.5452,0.3975,0.6543,0.451,0.4971,0.5456,context,meaning,b1_bridge_builder
0.5754,B1,0.0462,0.6327,0.6021,0.4618,0.5427,0.6883,0.6301,0.6492,meaning,context,b1_bridge_builder
0.6447,B1,0.0463,0.7222,0.6815,0.5005,0.7542,0.6444,0.5499,0.6699,collocation,meaning,b1_bridge_builder
0.7084,B2,0.0331,0.782,0.6871,0.6409,0.6059,0.7647,0.7888,0.7508,meaning,collocation,b1_bridge_builder
0.5659,B1,0.0678,0.6366,0.595,0.4668,0.53,0.5,0.6141,0.6696,context,word-form,b1_bridge_builder
0.5385,B1,0.0372,0.6104,0.5562,0.4265,0.6901,0.5768,0.4606,0.5769,collocation,meaning,b1_bridge_builder
0.6729,B1,0.0405,0.7254,0.6734,0.6043,0.736,0.5907,0.6787,0.756,context,word-form,b1_bridge_builder
0.6113,B1,0.0638,0.6343,0.5751,0.4885,0.5292,0.6618,0.6137,0.6029,meaning,context,b1_bridge_builder
0.6741,B1,0.0252,0.7463,0.6956,0.522,0.7469,0.7012,0.6657,0.5472,word-form,meaning,b1_bridge_builder
0.6539,B1,0.0457,0.651,0.6863,0.5305,0.6564,0.51,0.6767,0.7147,context,word-form,b1_bridge_builder
0.5845,B1,0.009,0.6609,0.6508,0.4573,0.5109,0.5872,0.68,0.5971,meaning,collocation,b1_bridge_builder
0.6739,B1,0.0697,0.7759,0.6951,0.6002,0.8081,0.6194,0.691,0.6927,context,meaning,b1_bridge_builder
0.6974,B2,0.0037,0.7796,0.7103,0.5396,0.8168,0.6406,0.7222,0.7031,context,meaning,b1_bridge_builder
0.5971,B1,0.0219,0.6764,0.6286,0.4763,0.7111,0.6157,0.561,0.6166,collocation,meaning,b1_bridge_builder
0.5177,B1,0.0041,0.5505,0.5045,0.4426,0.4071,0.6178,0.5005,0.5677,meaning,context,b1_bridge_builder
0.5083,B1,0.0159,0.6054,0.521,0.3919,0.404,0.6241,0.5156,0.5468,meaning,context,b1_bridge_builder
0.7108,B2,0.0115,0.7613,0.7135,0.5639,0.62,0.65,0.7655,0.7067,meaning,collocation,b1_bridge_builder
0.6995,B2,0.0137,0.7301,0.7146,0.5822,0.7063,0.8043,0.5953,0.7459,collocation,context,b1_bridge_builder
0.6872,B2,0.0438,0.7522,0.679,0.5603,0.6492,0.5835,0.7186,0.7965,context,word-form,b1_bridge_builder
0.7064,B2,0.0745,0.7987,0.7079,0.6305,0.8415,0.7656,0.7434,0.6438,word-form,meaning,b1_bridge_builder
0.6542,B1,0.0303,0.6633,0.6072,0.5577,0.7637,0.6426,0.6518,0.574,word-form,meaning,b1_bridge_builder
0.6298,B1,0.0358,0.7048,0.624,0.4879,0.5121,0.7342,0.6368,0.6542,meaning,context,b1_bridge_builder
0.5827,B1,0.0323,0.6097,0.5242,0.3961,0.5723,0.6842,0.4748,0.6096,collocation,context,b1_bridge_builder
0.5578,B1,0.0315,0.6442,0.5846,0.4016,0.6296,0.553,0.4306,0.5684,collocation,meaning,b1_bridge_builder
0.619,B1,0.0536,0.6924,0.624,0.4354,0.5781,0.6731,0.6062,0.5168,word-form,context,b1_bridge_builder
0.5567,B1,0.0484,0.6238,0.5411,0.4251,0.4202,0.5717,0.5482,0.6146,meaning,word-form,b1_bridge_builder
0.6097,B1,0.0329,0.6814,0.6483,0.4673,0.6146,0.5406,0.7099,0.5992,context,collocation,b1_bridge_builder
0.6645,B1,0.0623,0.6644,0.6633,0.5685,0.7416,0.647,0.5464,0.6015,collocation,meaning,b1_bridge_builder
0.5826,B1,0.0275,0.6957,0.6521,0.4835,0.4951,0.5811,0.6195,0.687,meaning,word-form,b1_bridge_builder
0.6972,B2,0.0582,0.7302,0.6448,0.6136,0.6925,0.7992,0.7147,0.564,word-form,context,b1_bridge_builder
0.6434,B1,0.0222,0.6827,0.6023,0.5246,0.5274,0.6109,0.5992,0.7415,meaning,word-form,b1_bridge_builder
0.5523,B1,0.0388,0.6038,0.5799,0.4053,0.5849,0.6182,0.4477,0.5166,collocation,context,b1_bridge_builder
0.7077,B2,0.0134,0.7472,0.6842,0.5919,0.5772,0.7426,0.801,0.728,meaning,collocation,b1_bridge_builder
0.6377,B1,0.0564,0.7317,0.6723,0.5304,0.7252,0.6727,0.5592,0.6139,collocation,meaning,b1_bridge_builder
0.6351,B1,0.0765,0.7027,0.5785,0.5462,0.6614,0.5169,0.6671,0.7421,context,word-form,b1_bridge_builder
0.611,B1,0.0542,0.6492,0.6322,0.522,0.592,0.7155,0.5227,0.6234,collocation,context,b1_bridge_builder
0.6942,B2,0.0496,0.7837,0.761,0.5937,0.6896,0.6894,0.6417,0.8396,collocation,word-form,b1_bridge_builder
0.5605,B1,0.0557,0.6325,0.5391,0.4592,0.5463,0.4634,0.4945,0.6319,context,word-form,b1_bridge_builder
0.5476,B1,0.0622,0.6627,0.5581,0.4219,0.6194,0.5896,0.6899,0.4858,word-form,collocation,b1_bridge_builder
0.5904,B1,0.0345,0.6535,0.6188,0.4451,0.6763,0.6355,0.4757,0.5612,collocation,meaning,b1_bridge_builder
0.6745,B1,0.0532,0.7547,0.62,0.5491,0.5775,0.6154,0.7418,0.6622,meaning,collocation,b1_bridge_builder
0.5511,B1,0.0763,0.6667,0.6072,0.4626,0.5861,0.6893,0.4881,0.5777,collocation,context,b1_bridge_builder
0.7252,B2,0.0064,0.8058,0.659,0.5834,0.7979,0.7435,0.6858,0.6119,word-form,meaning,b1_bridge_builder
0.6333,B1,0.035,0.6418,0.64,0.4998,0.5914,0.6266,0.5402,0.7045,collocation,word-form,b1_bridge_builder
0.5871,B1,0.0013,0.6217,0.6082,0.4729,0.4462,0.6603,0.5355,0.5506,meaning,context,b1_bridge_builder
0.6083,B1,0.003,0.6921,0.5595,0.4826,0.5489,0.5565,0.5026,0.6953,collocation,word-form,b1_bridge_builder
0.56,B1,0.0668,0.6516,0.5832,0.3909,0.4901,0.563,0.6491,0.566,meaning,collocation,b1_bridge_builder
0.5631,B1,0.0461,0.6423,0.5519,0.3965,0.4442,0.6428,0.5061,0.5645,meaning,context,b1_bridge_builder
0.5155,B1,0.008,0.6156,0.5441,0.4728,0.652,0.4612,0.5123,0.5143,context,meaning,b1_bridge_builder
0.7225,B2,0.0554,0.8051,0.698,0.6172,0.8055,0.7051,0.6702,0.6402,word-form,meaning,b1_bridge_builder
0.5446,B1,0.0335,0.6366,0.5242,0.478,0.5604,0.5393,0.4636,0.6684,collocation,word-form,b1_bridge_builder
0.6078,B1,0.009,0.6991,0.6553,0.4935,0.7331,0.5136,0.6546,0.679,context,meaning,b1_bridge_builder
0.5172,B1,0.0592,0.5963,0.5833,0.4587,0.5205,0.6389,0.5071,0.4729,word-form,context,b1_bridge_builder
